Format,LMUTelemetry v3
Version,1
Player,Daniel Karasi
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,TF Sport #72:LM
SessionUTC,2025-11-21T10:50:59Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
94.534,0,184.64,6035.16,0.00,31.75,19.57,4,-285.90,820.42
94.534,0,183.68,6014.69,0.00,31.75,0.00,4,-286.45,821.27
94.534,0,183.27,5995.59,0.00,33.33,0.00,4,-287.00,822.12
94.534,0,182.46,5971.04,0.00,33.33,0.00,4,-287.55,822.96
94.534,0,182.00,5945.12,0.00,36.51,19.57,4,-288.09,823.80
104.698,0,181.03,5921.93,0.00,36.51,19.57,4,-288.63,824.64
104.698,0,180.53,5897.37,0.00,38.10,19.57,4,-289.18,825.48
104.698,0,179.50,5872.82,0.00,39.68,19.57,4,-289.71,826.31
104.698,0,179.06,5848.26,0.00,39.68,19.57,4,-290.25,827.14
104.698,0,179.06,5848.26,0.00,39.68,19.57,4,-290.25,827.14
104.698,0,177.81,5827.80,0.00,41.27,19.57,4,-290.78,827.96
104.698,0,177.37,5810.07,0.00,42.86,0.00,4,-291.31,828.78
104.698,0,176.28,5792.33,0.00,42.86,0.00,4,-291.84,829.60
104.698,0,176.00,5769.14,0.00,44.44,0.00,4,-292.37,830.41
104.698,0,174.76,5743.22,0.00,44.44,0.00,4,-292.89,831.22
104.698,0,174.41,5714.57,0.00,46.03,0.00,4,-293.41,832.02
114.448,0,173.29,5687.29,0.00,46.03,0.00,4,-293.93,832.83
114.448,0,172.63,5658.64,0.00,47.62,0.00,4,-294.44,833.62
114.448,0,171.67,5634.08,0.00,47.62,0.00,4,-294.95,834.42
114.448,0,170.85,5829.16,38.10,49.21,0.00,0,-295.46,835.21
114.448,0,170.29,6238.42,30.16,49.21,0.00,0,-295.97,836.00
114.448,0,169.17,6463.51,23.81,49.21,0.00,0,-296.47,836.78
114.448,0,168.77,6557.64,19.05,49.21,0.00,0,-296.97,837.56
114.448,0,167.28,6574.01,17.46,50.79,0.00,0,-297.47,838.34
114.448,0,167.15,6554.91,15.87,50.79,0.00,0,-297.97,839.11
114.448,0,166.29,6490.79,0.00,50.79,19.57,3,-298.46,839.88
123.742,0,165.33,6507.16,0.00,50.79,0.00,3,-298.95,840.64
123.742,0,164.70,6460.78,0.00,50.79,0.00,3,-299.44,841.40
123.742,0,164.70,6460.78,0.00,50.79,0.00,3,-299.44,841.40
123.742,0,164.51,6384.39,0.00,50.79,0.00,3,-299.93,842.16
123.742,0,163.88,6287.53,0.00,50.79,0.00,3,-300.42,842.92
123.742,0,162.19,6207.04,0.00,50.79,-19.57,3,-300.90,843.67
123.742,0,161.90,6163.39,0.00,50.79,-39.14,3,-301.39,844.42
123.742,0,159.86,6122.46,0.00,50.79,-19.57,3,-301.86,845.16
123.742,0,158.86,6190.67,0.00,50.79,0.00,3,-302.34,845.90
123.742,0,158.47,6237.06,0.00,50.79,19.57,3,-302.81,846.63
123.742,0,157.72,6216.59,0.00,52.38,19.57,3,-303.28,847.36
132.582,0,157.29,6179.76,0.00,52.38,19.57,3,-303.75,848.08
132.582,0,155.95,6137.47,0.00,52.38,0.00,3,-304.21,848.80
132.582,0,155.64,6086.99,0.00,52.38,-19.57,3,-304.67,849.52
132.582,0,154.49,6036.52,0.00,53.97,-19.57,3,-305.13,850.23
132.582,0,153.80,5995.59,0.00,55.56,-39.14,3,-305.58,850.94
132.582,0,152.70,5971.04,0.00,55.56,-39.14,3,-306.04,851.65
132.582,0,151.74,5953.30,0.00,55.56,-39.14,3,-306.49,852.35
132.582,0,151.18,5928.75,0.00,55.56,-39.14,3,-306.94,853.05
132.582,0,150.05,5897.37,0.00,55.56,-19.57,3,-307.39,853.74
132.582,0,150.05,5897.37,0.00,55.56,-19.57,3,-307.39,853.74
132.582,0,149.65,5859.18,0.00,55.56,-19.57,3,-307.83,854.43
140.937,0,148.59,5819.61,0.00,55.56,-19.57,3,-308.27,855.12
140.937,0,147.53,5781.42,0.00,55.56,-19.57,3,-308.71,855.80
140.937,0,147.03,5750.04,0.00,55.56,-19.57,3,-309.15,856.48
140.937,0,145.81,5726.85,0.00,55.56,-19.57,3,-309.58,857.15
140.937,0,145.16,5706.39,0.00,55.56,-39.14,3,-310.01,857.82
140.937,0,144.19,5681.83,0.00,53.97,-39.14,3,-310.44,858.48
140.937,0,143.44,5651.82,0.00,53.97,-39.14,3,-310.87,859.14
140.937,0,142.79,5619.08,0.00,53.97,-39.14,3,-311.29,859.80
140.937,0,141.68,5582.25,0.00,53.97,-39.14,3,-311.72,860.46
140.937,0,141.08,5546.78,0.00,53.97,-39.14,3,-312.14,861.11
148.834,0,140.37,5518.13,0.00,52.38,-19.57,3,-312.55,861.75
148.834,0,139.16,5496.30,0.00,52.38,-19.57,3,-312.97,862.39
148.834,0,138.78,5469.02,0.00,52.38,-19.57,3,-313.38,863.03
148.834,0,138.00,5432.19,0.00,52.38,-39.14,3,-313.79,863.67
148.834,0,137.06,5396.72,0.00,52.38,-39.14,3,-314.20,864.30
148.834,0,137.06,5396.72,0.00,52.38,-39.14,3,-314.20,864.30
148.834,0,136.35,5362.61,0.00,52.38,-39.14,3,-314.61,864.93
148.834,0,135.39,5332.60,0.00,50.79,-39.14,3,-315.01,865.55
148.834,0,134.39,5301.22,0.00,50.79,-39.14,3,-315.41,866.17
148.834,0,133.89,5273.94,0.00,50.79,-39.14,3,-315.81,866.78
148.834,0,133.01,5248.02,0.00,49.21,-39.14,3,-316.21,867.39
156.291,0,132.35,5220.74,0.00,47.62,-39.14,3,-316.60,868.00
156.291,0,131.76,5192.09,0.00,47.62,-39.14,3,-317.00,868.61
156.291,0,130.85,5162.08,0.00,46.03,-39.14,3,-317.39,869.21
156.291,0,130.20,5218.01,38.10,46.03,-39.14,0,-317.78,869.81
156.291,0,129.58,5722.76,30.16,44.44,-19.57,0,-318.17,870.41
156.291,0,129.08,6013.33,23.81,44.44,-19.57,0,-318.55,871.00
156.291,0,128.73,6149.75,17.46,42.86,-19.57,0,-318.94,871.59
156.291,0,128.02,6183.85,14.29,41.27,-19.57,0,-319.32,872.18
156.291,0,127.27,6163.39,12.70,41.27,-39.14,0,-319.71,872.77
156.291,0,124.96,6086.99,0.00,39.68,-39.14,2,-320.09,873.35
163.372,0,126.06,6082.90,0.00,38.10,-39.14,2,-320.46,873.93
163.372,0,125.56,6056.98,0.00,36.51,-39.14,2,-320.84,874.51
163.372,0,125.37,6031.06,0.00,34.92,-39.14,2,-321.21,875.09
163.372,0,125.37,6031.06,0.00,34.92,-39.14,2,-321.21,875.09
163.372,0,124.50,5986.05,0.00,30.16,-39.14,2,-321.96,876.23
163.372,0,124.50,5986.05,0.00,30.16,-39.14,2,-321.96,876.23
163.372,0,123.90,5945.12,0.00,26.98,-39.14,2,-322.71,877.38
163.372,0,123.90,5945.12,0.00,26.98,-39.14,2,-322.71,877.38
163.372,0,123.59,5926.02,0.00,23.81,-39.14,2,-323.09,877.95
163.372,0,123.40,5908.29,0.00,22.22,-19.57,2,-323.46,878.53
163.372,0,123.00,5894.64,0.00,20.63,-19.57,2,-323.83,879.10
170.234,0,122.75,5876.91,0.00,19.05,-39.14,2,-324.21,879.67
170.234,0,122.66,5863.27,0.00,17.46,-39.14,2,-324.58,880.23
170.234,0,122.34,5849.63,0.00,17.46,-39.14,2,-324.95,880.80
170.234,0,122.04,5834.62,0.00,15.87,-39.14,2,-325.32,881.37
170.234,0,121.85,5820.98,0.00,14.29,-19.57,2,-325.69,881.94
170.234,0,121.51,5812.79,0.00,14.29,-19.57,2,-326.06,882.50
170.234,0,121.20,5799.15,0.00,12.70,-19.57,2,-326.43,883.07
170.234,0,121.27,5784.15,0.00,12.70,-19.57,2,-326.80,883.63
170.234,0,120.70,5769.14,0.00,12.70,-39.14,2,-327.17,884.19
170.234,0,120.46,5752.77,0.00,12.70,-39.14,2,-327.54,884.75
176.990,0,120.24,5736.40,0.00,12.70,-39.14,2,-327.91,885.31
176.990,0,119.96,5722.76,0.00,12.70,-39.14,2,-328.27,885.87
176.990,0,119.55,5706.39,0.00,12.70,-39.14,2,-328.64,886.43
176.990,0,119.40,5691.38,0.00,12.70,-39.14,2,-329.00,886.98
176.990,0,118.99,5680.47,0.00,12.70,-19.57,2,-329.37,887.54
176.990,0,118.49,5666.83,0.00,14.29,-19.57,2,-329.73,888.09
176.990,0,118.02,5645.00,0.00,19.05,-19.57,2,-330.09,888.64
176.990,0,118.02,5645.00,0.00,19.05,-19.57,2,-330.09,888.64
176.990,0,117.21,5624.54,0.00,22.22,-19.57,2,-330.45,889.19
176.990,0,116.26,5601.34,0.00,23.81,-19.57,2,-330.80,889.73
176.990,0,115.85,5574.06,0.00,26.98,-19.57,2,-331.16,890.27
183.574,0,115.26,5548.14,0.00,28.57,-19.57,2,-331.51,890.81
183.574,0,114.29,5523.59,0.00,30.16,-19.57,2,-331.86,891.34
183.574,0,113.32,5471.75,0.00,33.33,-19.57,2,-332.55,892.40
183.574,0,112.58,5441.74,0.00,34.92,-19.57,2,-332.89,892.92
183.574,0,111.77,5410.36,0.00,34.92,-19.57,2,-333.23,893.44
183.574,0,111.36,5376.25,0.00,36.51,-19.57,2,-333.57,893.96
183.574,0,110.55,5346.24,0.00,36.51,-19.57,2,-333.91,894.47
183.574,0,109.80,5316.23,0.00,38.10,-19.57,2,-334.24,894.98
183.574,0,109.33,5287.58,0.00,39.68,-19.57,2,-334.57,895.48
189.772,0,108.58,5261.66,0.00,39.68,-19.57,2,-334.90,895.98
189.772,0,107.77,5233.01,0.00,41.27,-19.57,2,-335.23,896.48
189.772,0,107.17,5204.37,0.00,41.27,-19.57,2,-335.56,896.98
189.772,0,106.49,5168.90,0.00,41.27,-19.57,2,-335.88,897.47
189.772,0,105.74,5136.16,0.00,42.86,0.00,2,-336.20,897.96
189.772,0,105.74,5136.16,0.00,42.86,0.00,2,-336.20,897.96
189.772,0,104.93,5102.05,0.00,44.44,0.00,2,-336.52,898.44
189.772,0,104.37,5070.68,0.00,44.44,0.00,2,-336.84,898.93
189.772,0,103.61,5039.30,0.00,44.44,0.00,2,-337.15,899.41
189.772,0,102.71,5007.92,0.00,44.44,-19.57,2,-337.46,899.88
189.772,0,102.05,4975.18,0.00,46.03,-19.57,2,-337.77,900.35
