Format,LMUTelemetry v3
Version,1
Player,BREUX KACEM
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,D'station Racing #777:LM
SessionUTC,2025-11-21T10:52:16Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
104.363,0,205.33,6704.97,100.00,0.00,-39.14,4,-289.58,824.99
104.363,0,205.33,6704.97,100.00,0.00,-39.14,4,-289.58,824.99
104.363,0,205.54,6707.70,100.00,0.00,-19.57,4,-290.21,825.94
104.363,0,205.64,6714.52,100.00,0.00,-19.57,4,-290.84,826.89
104.363,0,205.76,6715.88,100.00,0.00,0.00,4,-291.47,827.85
104.363,0,205.98,6725.43,100.00,0.00,0.00,4,-292.10,828.80
104.363,0,205.89,6726.80,100.00,0.00,19.57,4,-292.73,829.76
104.363,0,206.23,6734.98,100.00,0.00,19.57,4,-293.36,830.71
104.363,0,206.20,6736.35,100.00,0.00,19.57,4,-293.99,831.67
104.363,0,206.49,6744.53,100.00,0.00,19.57,4,-294.62,832.63
115.803,0,206.55,6747.26,100.00,0.00,19.57,4,-295.25,833.59
115.803,0,206.83,6755.45,100.00,0.00,19.57,4,-295.88,834.55
115.803,0,206.82,6758.17,100.00,0.00,19.57,4,-296.51,835.51
115.803,0,207.17,6766.36,100.00,0.00,19.57,4,-297.14,836.47
115.803,0,207.07,6767.72,100.00,0.00,0.00,4,-297.77,837.43
115.803,0,207.26,6774.54,100.00,0.00,0.00,4,-298.40,838.39
115.803,0,207.61,6777.27,100.00,0.00,0.00,4,-299.03,839.36
115.803,0,207.78,6788.19,100.00,0.00,0.00,4,-299.66,840.32
115.803,0,207.85,6781.37,100.00,0.00,0.00,4,-300.30,841.29
