Format,LMUTelemetry v3
Version,1
Player,Jose Manuel Fernandez
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Dempsey-Proton Racing #77:LM
SessionUTC,2025-11-21T10:50:08Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
94.171,0,204.13,8631.20,100.00,0.00,-100.00,4,-284.23,820.34
94.171,0,204.48,8633.93,100.00,0.00,-100.00,4,-284.88,821.27
94.171,0,204.49,8643.48,100.00,0.00,-100.00,4,-285.54,822.20
94.171,0,204.87,8647.57,100.00,0.00,-100.00,4,-286.19,823.13
94.171,0,204.82,8655.76,100.00,0.00,-100.00,4,-286.85,824.06
94.171,0,205.11,8657.12,100.00,0.00,-100.00,4,-287.51,824.99
105.520,0,205.14,8669.40,100.00,0.00,-100.00,4,-288.17,825.92
105.520,0,205.43,8669.40,100.00,0.00,-100.00,4,-288.83,826.85
105.520,0,205.38,8684.40,100.00,0.00,-100.00,4,-289.49,827.78
105.520,0,205.60,8684.40,100.00,0.00,-100.00,4,-290.16,828.70
105.520,0,205.71,8698.05,100.00,0.00,-100.00,4,-290.83,829.63
105.520,0,205.84,8696.68,100.00,0.00,-100.00,4,-291.49,830.56
105.520,0,205.84,8696.68,100.00,0.00,-100.00,4,-291.49,830.56
105.520,0,205.97,8708.96,100.00,0.00,-100.00,4,-292.16,831.49
105.520,0,206.10,8711.69,100.00,0.00,-100.00,4,-292.83,832.41
105.520,0,206.30,8721.24,100.00,0.00,-100.00,4,-293.50,833.34
105.520,0,206.46,8722.60,100.00,0.00,-100.00,4,-294.18,834.27
116.942,0,206.68,8733.51,100.00,0.00,-97.85,4,-294.85,835.20
116.942,0,206.72,8737.61,100.00,0.00,-78.28,4,-295.53,836.12
116.942,0,207.12,8744.43,100.00,0.00,-58.71,4,-296.20,837.05
116.942,0,207.03,8751.25,100.00,0.00,-39.14,4,-296.88,837.98
116.942,0,207.25,8756.71,100.00,0.00,0.00,4,-297.56,838.91
116.942,0,207.35,8763.53,100.00,0.00,19.57,4,-298.23,839.84
116.942,0,207.35,8767.62,100.00,0.00,58.71,4,-298.91,840.78
116.942,0,207.54,8773.08,100.00,0.00,78.28,4,-299.59,841.71
116.942,0,207.85,8775.80,100.00,0.00,97.85,4,-300.27,842.64
116.942,0,207.77,8788.08,100.00,0.00,100.00,4,-300.94,843.58
128.436,0,207.82,8793.54,100.00,1.59,100.00,4,-301.62,844.51
128.436,0,207.84,8793.54,100.00,4.76,100.00,4,-302.29,845.45
128.436,0,207.10,8773.08,100.00,11.11,100.00,4,-302.96,846.39
128.436,0,206.50,8748.52,100.00,17.46,100.00,4,-303.63,847.32
128.436,0,206.50,8748.52,100.00,17.46,100.00,4,-303.63,847.32
128.436,0,205.60,8721.24,93.65,25.40,100.00,4,-304.30,848.26
128.436,0,204.44,8678.95,82.54,34.92,100.00,4,-304.95,849.19
128.436,0,202.44,8621.65,69.84,42.86,100.00,4,-305.60,850.12
128.436,0,200.56,8561.63,52.38,52.38,100.00,4,-306.25,851.04
128.436,0,198.70,8496.15,38.10,58.73,100.00,4,-306.88,851.94
128.436,0,197.17,8437.49,25.40,63.49,100.00,4,-307.51,852.84
139.687,0,195.36,8376.10,17.46,66.67,100.00,4,-308.12,853.74
139.687,0,193.89,8313.35,7.94,69.84,100.00,4,-308.73,854.62
139.687,0,192.30,8250.59,3.17,71.43,100.00,4,-309.32,855.49
139.687,0,190.71,8186.48,0.00,74.60,100.00,4,-309.91,856.36
139.687,0,189.18,8116.90,0.00,77.78,100.00,4,-310.50,857.21
139.687,0,187.83,8048.69,0.00,79.37,100.00,4,-311.07,858.06
139.687,0,186.30,7981.85,0.00,80.95,97.85,4,-311.64,858.91
139.687,0,184.68,7925.92,0.00,82.54,78.28,4,-312.20,859.74
139.687,0,183.27,7874.08,0.00,82.54,58.71,4,-312.75,860.57
139.687,0,182.06,7833.15,0.00,84.13,39.14,4,-313.30,861.40
149.916,0,180.46,7782.68,0.00,84.13,19.57,4,-313.85,862.21
149.916,0,179.19,7743.12,0.00,84.13,19.57,4,-314.38,863.03
149.916,0,178.04,7700.83,0.00,84.13,0.00,4,-314.92,863.83
149.916,0,176.45,7662.63,0.00,82.54,0.00,4,-315.44,864.63
149.916,0,175.00,7606.70,0.00,82.54,0.00,4,-315.96,865.43
149.916,0,173.63,7554.86,0.00,82.54,0.00,4,-316.48,866.22
149.916,0,172.14,7492.11,0.00,80.95,0.00,4,-316.99,867.00
149.916,0,170.80,7434.81,0.00,80.95,0.00,4,-317.49,867.78
149.916,0,169.64,7372.06,0.00,79.37,0.00,4,-318.00,868.55
149.916,0,169.64,7372.06,0.00,79.37,0.00,4,-318.00,868.55
149.916,0,168.30,7314.76,0.00,77.78,0.00,4,-318.49,869.31
159.320,0,167.21,7256.10,0.00,76.19,0.00,4,-318.99,870.07
159.320,0,165.77,7189.26,0.00,74.60,0.00,4,-319.48,870.83
159.320,0,164.58,7137.42,0.00,73.02,0.00,4,-319.97,871.58
159.320,0,163.51,7086.94,0.00,71.43,-19.57,4,-320.46,872.32
159.320,0,162.55,7051.47,0.00,68.25,-19.57,4,-320.94,873.06
159.320,0,161.92,7014.64,0.00,66.67,-19.57,4,-321.42,873.79
159.320,0,160.76,6995.54,0.00,65.08,-19.57,4,-321.91,874.53
159.320,0,159.92,6968.26,0.00,65.08,-19.57,4,-322.38,875.25
159.320,0,158.78,6934.15,0.00,65.08,-19.57,4,-322.86,875.98
159.320,0,157.69,6902.78,0.00,65.08,-19.57,4,-323.34,876.70
168.117,0,156.57,6863.22,0.00,65.08,-19.57,4,-323.81,877.42
168.117,0,155.64,6827.75,0.00,63.49,0.00,4,-324.27,878.14
168.117,0,154.86,6784.09,0.00,61.90,0.00,4,-324.74,878.85
168.117,0,154.08,6736.35,0.00,61.90,0.00,4,-325.20,879.55
168.117,0,153.46,6691.33,0.00,61.90,0.00,4,-325.67,880.26
168.117,0,152.49,6642.22,0.00,60.32,19.57,4,-326.13,880.96
168.117,0,151.28,6601.29,0.00,60.32,19.57,4,-326.59,881.66
168.117,0,150.41,6553.55,0.00,58.73,19.57,4,-327.04,882.35
168.117,0,150.41,6553.55,0.00,58.73,19.57,4,-327.04,882.35
168.117,0,149.66,6516.71,0.00,57.14,19.57,4,-327.50,883.04
168.117,0,148.85,6488.07,0.00,55.56,19.57,4,-327.95,883.73
176.498,0,148.04,6451.23,0.00,55.56,19.57,4,-328.40,884.42
176.498,0,147.32,6860.49,34.92,55.56,19.57,0,-328.84,885.10
176.498,0,146.39,7213.81,23.81,55.56,19.57,0,-329.29,885.77
176.498,0,145.64,7387.06,17.46,55.56,19.57,0,-329.73,886.45
176.498,0,144.77,7436.17,12.70,55.56,19.57,0,-330.17,887.12
176.498,0,143.96,7410.25,9.52,55.56,19.57,0,-330.60,887.79
176.498,0,143.06,7351.59,11.11,55.56,19.57,0,-331.04,888.45
176.498,0,141.53,7275.20,0.00,55.56,19.57,3,-331.47,889.12
176.498,0,141.00,7224.73,0.00,55.56,19.57,3,-331.90,889.77
176.498,0,140.16,7179.71,0.00,55.56,19.57,3,-332.32,890.42
184.462,0,139.07,7127.87,0.00,55.56,19.57,3,-332.74,891.07
184.462,0,138.26,7085.58,0.00,55.56,19.57,3,-333.16,891.72
184.462,0,137.39,7044.65,0.00,55.56,19.57,3,-333.58,892.36
184.462,0,136.52,7001.00,0.00,55.56,0.00,3,-333.99,892.99
184.462,0,135.43,6965.53,0.00,55.56,0.00,3,-334.40,893.62
184.462,0,134.46,6924.60,0.00,55.56,0.00,3,-334.80,894.25
184.462,0,133.58,6870.04,0.00,55.56,0.00,3,-335.21,894.87
184.462,0,132.89,6825.02,0.00,55.56,0.00,3,-335.61,895.49
184.462,0,132.89,6825.02,0.00,55.56,0.00,3,-335.61,895.49
184.462,0,131.95,6771.82,0.00,55.56,-19.57,3,-336.01,896.11
184.462,0,131.11,6725.43,0.00,55.56,-19.57,3,-336.40,896.72
191.923,0,130.27,6676.32,0.00,57.14,-19.57,3,-336.79,897.33
191.923,0,129.39,6639.49,0.00,57.14,-19.57,3,-337.19,897.93
191.923,0,128.43,6590.38,0.00,57.14,-19.57,3,-337.57,898.53
191.923,0,127.33,6549.45,0.00,57.14,-19.57,3,-337.96,899.12
191.923,0,126.43,6503.07,0.00,57.14,-19.57,3,-338.34,899.71
191.923,0,125.71,6462.15,0.00,57.14,-19.57,3,-338.72,900.30
191.923,0,124.86,6534.45,55.56,57.14,-19.57,0,-339.10,900.88
191.923,0,124.30,7190.62,38.10,57.14,-19.57,0,-339.48,901.46
191.923,0,123.49,7557.59,25.40,57.14,-19.57,0,-339.85,902.03
191.923,0,122.55,7714.47,15.87,57.14,-19.57,0,-340.22,902.60
198.888,0,121.61,7733.57,11.11,57.14,-19.57,0,-340.60,903.16
198.888,0,120.64,7674.91,9.52,57.14,-19.57,0,-340.96,903.73
198.888,0,116.55,7554.86,0.00,57.14,-39.14,2,-341.32,904.28
198.888,0,117.83,7494.83,0.00,57.14,-39.14,2,-341.68,904.83
198.888,0,117.27,7455.27,0.00,55.56,-39.14,2,-342.04,905.37
198.888,0,116.58,7410.25,0.00,55.56,-39.14,2,-342.39,905.91
198.888,0,115.87,7377.51,0.00,55.56,-39.14,2,-342.74,906.44
198.888,0,114.90,7333.86,0.00,55.56,-39.14,2,-343.09,906.98
198.888,0,113.82,7288.84,0.00,55.56,-39.14,2,-343.44,907.50
198.888,0,113.10,7252.01,0.00,55.56,-19.57,2,-343.78,908.03
205.272,0,112.32,7196.08,0.00,55.56,-19.57,2,-344.12,908.55
205.272,0,111.73,7137.42,0.00,53.97,-19.57,2,-344.46,909.07
205.272,0,111.73,7137.42,0.00,53.97,-19.57,2,-344.46,909.07
205.272,0,110.89,7091.04,0.00,52.38,-19.57,2,-344.80,909.58
205.272,0,110.45,7033.74,0.00,50.79,-19.57,2,-345.13,910.09
205.272,0,109.99,6976.44,0.00,47.62,-19.57,2,-345.47,910.60
205.272,0,109.39,6928.70,0.00,44.44,-39.14,2,-345.80,911.11
205.272,0,109.23,6889.14,0.00,39.68,-39.14,2,-346.13,911.62
205.272,0,109.07,6852.30,0.00,36.51,-58.71,2,-346.46,912.12
205.272,0,108.87,6827.75,0.00,31.75,-58.71,2,-346.79,912.63
205.272,0,108.61,6805.92,0.00,28.57,-78.28,2,-347.12,913.13
211.332,0,108.20,6784.09,0.00,26.98,-78.28,2,-347.45,913.64
211.332,0,107.64,6762.27,0.00,26.98,-78.28,2,-347.78,914.14
211.332,0,107.26,6740.44,0.00,26.98,-97.85,2,-348.11,914.64
211.332,0,106.70,6721.34,0.00,26.98,-97.85,2,-348.44,915.14
211.332,0,106.14,6691.33,0.00,26.98,-97.85,2,-348.77,915.64
211.332,0,105.73,6662.68,0.00,26.98,-97.85,2,-349.09,916.14
211.332,0,105.14,6636.76,0.00,26.98,-97.85,2,-349.42,916.63
