Format,LMUTelemetry v3
Version,1
Player,Damon Blackburn
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Proton Competition #911:LM
SessionUTC,2025-11-21T10:50:24Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
94.380,0,204.14,8605.28,100.00,0.00,-39.14,4,-286.32,820.60
94.380,0,204.67,8610.74,100.00,0.00,-39.14,4,-286.94,821.55
94.380,0,204.29,8617.56,100.00,0.00,-39.14,4,-287.56,822.51
94.380,0,205.04,8625.74,100.00,0.00,-39.14,4,-288.18,823.46
94.380,0,204.60,8625.74,100.00,0.00,-39.14,4,-288.81,824.41
105.737,0,205.26,8643.48,100.00,0.00,-39.14,4,-289.43,825.36
105.737,0,204.86,8639.39,100.00,0.00,-39.14,4,-290.05,826.32
105.737,0,205.64,8657.12,100.00,0.00,-39.14,4,-290.68,827.27
105.737,0,205.08,8654.39,100.00,0.00,-19.57,4,-291.30,828.23
105.737,0,206.02,8669.40,100.00,0.00,-39.14,4,-291.93,829.18
105.737,0,205.49,8670.76,100.00,0.00,-19.57,4,-292.56,830.14
105.737,0,206.33,8681.68,100.00,0.00,-39.14,4,-293.18,831.09
105.737,0,206.05,8687.13,100.00,0.00,-19.57,4,-293.81,832.05
105.737,0,206.54,8693.95,100.00,0.00,-39.14,4,-294.44,833.01
105.737,0,206.45,8698.05,100.00,0.00,-19.57,4,-295.07,833.97
105.737,0,206.45,8698.05,100.00,0.00,-19.57,4,-295.07,833.97
117.176,0,206.83,8711.69,100.00,0.00,-19.57,4,-296.33,835.89
117.176,0,206.61,8714.42,100.00,0.00,0.00,4,-296.96,836.85
117.176,0,207.23,8725.33,100.00,0.00,0.00,4,-297.60,837.81
117.176,0,206.95,8726.69,100.00,0.00,0.00,4,-298.23,838.77
117.176,0,207.54,8740.34,100.00,0.00,0.00,4,-298.86,839.73
117.176,0,207.54,8740.34,100.00,0.00,0.00,4,-298.86,839.73
117.176,0,207.13,8738.97,100.00,0.00,0.00,4,-299.50,840.69
117.176,0,207.76,8753.98,100.00,0.00,0.00,4,-300.13,841.65
117.176,0,207.29,8752.61,100.00,0.00,19.57,4,-300.76,842.62
117.176,0,208.20,8770.35,100.00,0.00,0.00,4,-301.40,843.58
128.687,0,208.15,8760.80,100.00,0.00,19.57,4,-302.03,844.55
128.687,0,208.69,8778.53,100.00,0.00,0.00,4,-302.67,845.51
128.687,0,208.13,8774.44,96.83,0.00,0.00,4,-303.30,846.48
128.687,0,208.41,8793.54,88.89,0.00,0.00,4,-303.94,847.45
128.687,0,208.65,8777.17,79.37,0.00,-19.57,4,-304.57,848.42
128.687,0,207.80,8747.16,68.25,3.17,-19.57,4,-305.21,849.39
128.687,0,207.87,8718.51,57.14,4.76,-19.57,4,-305.84,850.35
128.687,0,205.77,8683.04,46.03,9.52,-19.57,4,-306.47,851.32
128.687,0,205.08,8650.30,33.33,14.29,-19.57,4,-307.10,852.27
128.687,0,203.24,8614.83,23.81,19.05,0.00,4,-307.72,853.22
140.170,0,202.47,8583.45,17.46,23.81,-19.57,4,-308.34,854.17
140.170,0,201.04,8542.53,11.11,26.98,0.00,4,-308.95,855.10
140.170,0,200.29,8516.61,6.35,30.16,0.00,4,-309.56,856.03
140.170,0,198.86,8475.68,4.76,34.92,19.57,4,-310.16,856.95
140.170,0,197.81,8449.76,1.59,36.51,19.57,4,-310.75,857.87
140.170,0,196.72,8400.65,0.00,41.27,19.57,4,-311.34,858.77
140.170,0,195.16,8357.00,0.00,46.03,19.57,4,-311.93,859.67
140.170,0,193.85,8299.70,0.00,49.21,39.14,4,-312.51,860.56
140.170,0,193.85,8299.70,0.00,49.21,39.14,4,-312.51,860.56
140.170,0,192.36,8250.59,0.00,52.38,39.14,4,-313.08,861.45
140.170,0,191.46,8201.48,0.00,52.38,39.14,4,-313.65,862.32
150.938,0,190.15,8167.38,0.00,55.56,58.71,4,-314.21,863.19
150.938,0,189.25,8120.99,0.00,55.56,39.14,4,-314.77,864.06
150.938,0,187.44,8093.71,0.00,55.56,39.14,4,-315.32,864.91
150.938,0,186.60,8051.42,0.00,55.56,39.14,4,-315.87,865.76
150.938,0,184.67,8029.59,0.00,55.56,39.14,4,-316.41,866.60
150.938,0,182.91,7958.66,0.00,57.14,19.57,4,-316.95,867.44
150.938,0,182.19,7958.66,0.00,57.14,19.57,4,-317.48,868.26
150.938,0,181.23,7909.55,0.00,57.14,19.57,4,-318.01,869.08
150.938,0,179.62,7819.51,0.00,57.14,0.00,4,-318.53,869.90
150.938,0,178.75,7819.51,0.00,57.14,0.00,4,-319.05,870.71
160.845,0,177.13,7777.22,0.00,57.14,0.00,4,-319.56,871.51
160.845,0,176.22,7725.38,0.00,57.14,0.00,4,-320.07,872.31
160.845,0,174.60,7676.27,0.00,57.14,0.00,4,-320.58,873.10
160.845,0,173.58,7617.61,0.00,57.14,19.57,4,-321.09,873.89
160.845,0,172.41,7572.59,0.00,53.97,19.57,4,-321.59,874.67
160.845,0,171.35,7527.57,0.00,53.97,19.57,4,-322.09,875.45
160.845,0,170.48,7479.83,0.00,53.97,19.57,4,-322.58,876.23
160.845,0,170.48,7479.83,0.00,53.97,19.57,4,-322.58,876.23
160.845,0,169.35,7451.18,0.00,53.97,19.57,4,-323.08,877.00
160.845,0,168.45,7415.71,0.00,57.14,0.00,4,-323.57,877.76
160.845,0,166.77,7388.43,0.00,57.14,0.00,4,-324.06,878.53
170.091,0,165.92,7350.23,0.00,57.14,0.00,4,-324.54,879.28
170.091,0,164.78,7324.31,0.00,57.14,0.00,4,-325.03,880.04
170.091,0,163.90,7282.02,0.00,58.73,-19.57,4,-325.51,880.79
170.091,0,162.57,7242.46,0.00,58.73,-19.57,4,-325.98,881.54
170.091,0,161.73,7190.62,0.00,61.90,-19.57,4,-326.46,882.28
170.091,0,160.01,7133.33,0.00,63.49,0.00,4,-326.93,883.02
170.091,0,158.96,7081.49,0.00,65.08,0.00,4,-327.40,883.75
170.091,0,157.96,7204.26,46.03,65.08,0.00,0,-327.87,884.48
170.091,0,156.83,7703.55,31.75,65.08,0.00,0,-328.33,885.20
170.091,0,156.14,7966.84,22.22,65.08,0.00,0,-328.80,885.92
178.833,0,154.84,8062.34,14.29,65.08,0.00,0,-329.26,886.63
178.833,0,154.12,8062.34,11.11,65.08,0.00,0,-329.71,887.34
178.833,0,152.57,7999.58,9.52,65.08,0.00,0,-330.17,888.05
178.833,0,150.79,7869.98,0.00,65.08,0.00,3,-330.62,888.75
178.833,0,150.16,7860.44,0.00,65.08,0.00,3,-331.06,889.45
178.833,0,148.86,7819.51,0.00,65.08,0.00,3,-331.51,890.14
178.833,0,148.29,7762.21,0.00,65.08,0.00,3,-331.95,890.82
178.833,0,146.80,7702.19,0.00,65.08,0.00,3,-332.38,891.51
178.833,0,146.14,7654.44,0.00,65.08,0.00,3,-332.82,892.18
178.833,0,144.92,7588.96,0.00,65.08,0.00,3,-333.25,892.86
187.033,0,143.52,7537.12,0.00,65.08,0.00,3,-333.67,893.52
187.033,0,142.80,7485.28,0.00,65.08,-19.57,3,-334.10,894.19
187.033,0,142.80,7485.28,0.00,65.08,-19.57,3,-334.10,894.19
187.033,0,141.51,7430.72,0.00,65.08,-19.57,3,-334.52,894.85
187.033,0,140.76,7392.52,0.00,65.08,-19.57,3,-334.94,895.50
187.033,0,139.57,7337.95,0.00,65.08,-19.57,3,-335.35,896.15
187.033,0,138.33,7283.39,0.00,65.08,-19.57,3,-335.76,896.80
